State,State Abbreviation,"2019 Age-adjusted Rate (per 100,000 population)",2019 Number of Deaths,"2018 Age-adjusted Rate (per 100,000 population)",2018 Number of Deaths,"2017 Age-adjusted Rate (per 100,000 population)",2017 Number of Deaths,"2016 Age-adjusted Rate (per 100,000 population)",2016 Number of Deaths,"2015 Age-adjusted Rate (per 100,000 population)",2015 Number of Deaths,"2014 Age-adjusted Rate (per 100,000 population)",2014 Number of Deaths,"2013 Age-adjusted Rate (per 100,000 population)",2013 Number of Deaths,2019 Poverty rate (percent of persons in poverty),Gini coefficient of income inequality,GDP per capita 2021,GDP (nominal in millions of USD) 2021,Urban population as a percentage of the total population in 2010,Population density per km²,Population,Land Area (km²)
North Dakota,ND,11.4,82,10.2,70,9.2,68,10.6,77,8.6,61,6.3,43,2.8,20,10.6,0.4533,83402,64978,59.9,4.235461788,756927,178711.8
Ohio,OH,38.3,4251,35.9,3980,46.3,5111,39.1,4329,29.9,3310,24.6,2744,20.8,2347,13.1,0.468,62046,732117,77.9,109.7460821,11614373,105829.5
Oklahoma,OK,16.7,645,18.4,716,20.1,775,21.5,813,19,725,20.3,777,20.6,790,15.2,0.4645,51917,205559,66.2,22.01583697,3911338,177660.2
Oregon,OR,14,615,12.6,547,12.4,530,11.9,506,12,505,12.8,522,11.3,455,11.4,0.4583,62331,264113,81,16.20615685,4028977,248607.8
Pennsylvania,PA,35.6,4377,36.1,4415,44.3,5388,37.9,4627,26.3,3264,21.9,2732,19.4,2426,12,0.4689,64044,832704,78.7,110.4770727,12802503,115883.8
Rhode Island,RI,29.5,307,30.1,317,31,320,30.8,326,28.2,310,23.4,247,22.4,241,10.8,0.4781,58475,64170,90.7,394.4353996,1056298,2678
South Carolina,SC,22.7,1127,22.6,1125,20.5,1008,18.1,879,15.7,761,14.4,701,13,620,13.8,0.4735,51984,266079,66.3,62.88590966,4896146,77857.6
South Dakota,SD,10.5,86,6.9,57,8.5,73,8.4,69,8.4,65,7.8,63,6.9,55,11.9,0.4495,68582,60810,56.7,4.372145398,858469,196349.6
Tennessee,TN,31.2,2089,27.5,1823,26.6,1776,24.5,1630,22.2,1457,19.5,1269,18.1,1187,13.9,0.479,59571,411689,66.4,61.80159403,6600299,106798.2
Texas,TX,10.8,3136,10.4,3005,10.5,2989,10.1,2831,9.4,2588,9.7,2601,9.3,2446,13.6,0.48,66818,1950359,84.7,40.59948169,27469114,676587.8
Utah,UT,18.9,571,21.2,624,22.3,650,22.4,635,23.4,646,22.4,603,22.1,594,8.9,0.4063,65061,212855,90.6,14.07728998,2995919,212819.3
Vermont,VT,23.8,133,26.6,153,23.2,134,22.2,125,16.7,99,13.9,83,15.1,93,10.2,0.4539,56119,36089,38.9,26.22505959,626042,23871.9
Virginia,VA,18.3,1547,17.1,1448,17.9,1507,16.7,1405,12.4,1039,11.7,980,10.2,854,9.9,0.4705,67920,586250,75.5,81.96233621,8382993,102278.6
Washington,WA,15.8,1259,14.8,1164,15.2,1169,14.5,1102,14.7,1094,13.3,979,13.4,969,9.8,0.4591,85852,661520,84,41.65897437,7170351,172120.2
West Virginia,WV,52.8,870,51.5,856,57.8,974,52,884,41.5,725,35.5,627,32.2,570,16,0.4711,47833,85799,48.7,29.62069193,1844128,62258.1
Wisconsin,WI,21.1,1201,19.2,1079,21.2,1177,19.3,1074,15.5,878,15.1,853,15,856,10.4,0.4498,61690,363586,70.2,41.14489629,5771337,140268.6
Wyoming,WY,14.1,79,11.1,66,12.2,69,17.6,99,16.4,96,19.4,109,17.2,98,10.1,0.436,71420,41199,64.8,2.330726127,586107,251469.7
